Evercraft CHUM Crawler Radar
Generated: 2026-09-26T20:52:09.989Z
Observed crawler-like requests: 0
Negative provider pickup receipts: 146
Strike-now surfaces: 1955

1. [strike_now] score=246 /chum/products/forensiscope/ai-conformance.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
2. [strike_now] score=246 /chum/products/forensiscope/ai-discovery.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
3. [strike_now] score=243 /chum/intents/forensiscope-evidence-review-v1/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
4. [strike_now] score=239 /chum/products/forensiscope/ :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
5. [strike_now] score=239 /chum/products/forensiscope/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
6. [strike_now] score=238 /forensiscope/editorial/deduplicate-long-video-segments/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
7. [strike_now] score=238 /forensiscope/editorial/forensiscope-and-assemblyai/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
8. [strike_now] score=238 /forensiscope/editorial/forensiscope-and-azure-video-indexer/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
9. [strike_now] score=238 /forensiscope/editorial/forensiscope-and-nvidia-vss/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
10. [strike_now] score=238 /forensiscope/editorial/forensiscope-vs-echosaw/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
11. [strike_now] score=238 /forensiscope/editorial/forensiscope-vs-gemini/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
12. [strike_now] score=238 /forensiscope/editorial/forensiscope-vs-k2/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
13. [strike_now] score=238 /forensiscope/editorial/forensiscope-vs-twelve-labs/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
14. [strike_now] score=238 /forensiscope/editorial/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
15. [strike_now] score=238 /forensiscope/editorial/long-video-ai-tools/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
16. [strike_now] score=238 /forensiscope/editorial/video-too-large-for-chatgpt/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, negative_provider_pickup_receipt, indexnow_hash_pending
17. [strike_now] score=231 /forensiscope/developers/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
18. [strike_now] score=231 /forensiscope/distribution/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
19. [strike_now] score=231 /forensiscope/mesh/llms.txt :: no_self_identified_crawler_fetch_observed, fresh_content_under_72h, negative_provider_pickup_receipt, indexnow_hash_pending
20. [strike_now] score=222 /chum/answers/doors/15-gb-video-analysis-0f57ef2f90.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
21. [strike_now] score=222 /chum/answers/doors/4-hour-video-analysis-b25c640591.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
22. [strike_now] score=222 /chum/answers/doors/account-takeover-protection-6a5072fc31.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
23. [strike_now] score=222 /chum/answers/doors/add-a-safe-ai-tool-b7c5b86ec9.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
24. [strike_now] score=222 /chum/answers/doors/add-an-agent-tool-to-my-system-72fd7b3a0c.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
25. [strike_now] score=222 /chum/answers/doors/add-idempotency-and-receipts-to-ai-business-actions-036bb2d652.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
26. [strike_now] score=222 /chum/answers/doors/advertise-my-event-3fa1b3cf42.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
27. [strike_now] score=222 /chum/answers/doors/agent-benchmark-mission-d6da03bb68.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
28. [strike_now] score=222 /chum/answers/doors/agent-persistence-a532e2a149.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
29. [strike_now] score=222 /chum/answers/doors/agriculture-evidence-brief-9ad9d965bc.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
30. [strike_now] score=222 /chum/answers/doors/ai-agent-needs-approval-before-it-changes-erp-data-7ecc03f896.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
31. [strike_now] score=222 /chum/answers/doors/ai-agents-still-running-6bf3174230.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
32. [strike_now] score=222 /chum/answers/doors/ai-context-limit-prevents-full-media-analysis-11b1153cc1.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
33. [strike_now] score=222 /chum/answers/doors/ai-found-uncertain-business-entity-matches-6cc7cc785b.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
34. [strike_now] score=222 /chum/answers/doors/ai-scam-draining-my-bank-account-5ee1d51386.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
35. [strike_now] score=222 /chum/answers/doors/ai-should-prepare-actions-but-not-become-the-authority-c2795c224e.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
36. [strike_now] score=222 /chum/answers/doors/ai-supported-subject-learning-8c51bb1e20.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
37. [strike_now] score=222 /chum/answers/doors/ai-tool-for-ev-charging-site-analysis-b41e57518e.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
38. [strike_now] score=222 /chum/answers/doors/ai-tool-to-evaluate-a-property-for-ev-charging-and-estimate-the-opportunity-562b434920.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
39. [strike_now] score=222 /chum/answers/doors/ai-video-understanding-for-long-footage-3cfef3702c.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
40. [strike_now] score=222 /chum/answers/doors/ai-worker-competency-test-7f140524a9.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
41. [strike_now] score=222 /chum/answers/doors/air-quality-work-decision-6eeb07802f.json :: no_self_identified_crawler_fetch_observed, fresh_content_under_24h, indexnow_hash_pending
